Время;результат;"тип контента";адрес;"исходящих байт";"входящих байт"
"2013-07-05 13:37:36";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/creep2.jpg;11090;550
"2013-07-05 13:37:36";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/creep3.jpg;49202;550
"2013-07-05 13:37:36";OK;text/html;http://negolist.com/backend.php/widget/result/index/widget_id/518;4065;578
"2013-07-05 13:37:36";OK;application/x-javascript;http://aa.newsblock.marketgid.com/p/j/4073/1;908;440
"2013-07-05 13:37:36";OK;text/html;http://vitr.alawar.ru/vitr3.0/fishki.net/adv_block_rand.php;30370;459
"2013-07-05 13:37:36";OK;application/x-javascript;http://p.adframesrc.com/static/js/blockm.js?;11613;393
"2013-07-05 13:37:36";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/creep4.jpg;14113;550
"2013-07-05 13:37:36";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/auto1.jpg;14573;549
"2013-07-05 13:37:36";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/auto2.jpg;6402;549
"2013-07-05 13:37:37";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/riba/tn.jpg;109141;751
"2013-07-05 13:37:37";"Не изменено";-;http://vitr.alawar.ru/vitr3.0/fishki.net/var/ru/_templates/default_tpl/alawar_style.css;344;483
"2013-07-05 13:37:37";OK;text/javascript;http://engine.adspynet.com/code?;3311;550
"2013-07-05 13:37:37";"Не изменено";-;http://vitr.alawar.ru/vitr3.0/fishki.net/var/ru/_templates/default_tpl/style_block_rand.css;344;487
"2013-07-05 13:37:37";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/uchitel/tn.jpg;30742;754
"2013-07-05 13:37:37";"Не изменено";-;http://vitr.alawar.ru/vitr3.0/fishki.net/var/ru/_templates/default_tpl/jquery-latest.pack.js;344;473
"2013-07-05 13:37:37";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/vodopad/tn.jpg;88692;754
"2013-07-05 13:37:37";"Не изменено";-;http://vitr.alawar.ru/vitr3.0/fishki.net/var/ru/_templates/default_tpl/jcarousellite_1.0.1.js;344;474
"2013-07-05 13:37:37";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/moda/tn.jpg;56456;751
